claim_id,policy_id,customer_id,claim_date_key,claim_type,claim_status,claim_amount,incurred_date,settled_date
373,432,1733,20260913,Theft,Paid,24270.91,2026-09-13,2026-10-07
374,3066,1874,20211119,Collision,Approved,2226.36,2021-11-19,2021-12-28
375,324,1468,20260723,Fire,Rejected,3550.11,2026-07-23,
376,1424,2944,20250920,Fire,Paid,212.83,2025-09-20,2025-10-27
377,3787,1789,20260609,Fire,Paid,372.95,2026-06-09,2026-07-22
378,108,807,20210712,Collision,Paid,6475.03,2021-07-12,2021-07-24
379,3650,2031,20220226,Flight Delay,Paid,1845.82,2022-02-26,2022-04-04
380,1262,891,20260906,Windscreen,Paid,4499.6,2026-09-06,2026-09-12
381,534,920,20250308,Storm Damage,Paid,23534.05,2025-03-08,2025-04-01
382,3127,923,20240101,Theft,Open,1490.09,2024-01-01,
383,2817,2765,20250725,Windscreen,Open,6493.16,2025-07-25,
384,3939,995,20240914,Fire,Paid,8777.7,2024-09-14,2024-09-22
385,3295,1300,20221110,Theft,Paid,5036.42,2022-11-10,2022-12-21
386,3604,1041,20230930,Fire,Open,6081.67,2023-09-30,
387,1263,982,20250927,Storm Damage,Paid,6391.96,2025-09-27,2025-09-30
388,794,397,20250101,Windscreen,Paid,6118.18,2025-01-01,2024-12-22
389,3368,2524,20221201,Water Damage,Rejected,23682.67,2022-12-01,
390,3619,1740,20230127,Windscreen,Approved,844.45,2023-01-27,2023-03-13
391,4456,2420,20230829,Windscreen,Approved,3824.23,2023-08-29,2023-09-04
392,1853,2051,20210927,Collision,Paid,5559.36,2021-09-27,2021-10-12
393,1667,1874,20240711,Water Damage,Paid,9144.3,2024-07-11,2024-07-29
394,3483,2052,20241010,Theft,Paid,4556.31,2024-10-10,2024-11-01
395,1519,758,20210611,Theft,Open,6955.68,2021-06-11,
396,4183,1469,20250916,Baggage Loss,Paid,1612.01,2025-09-16,2025-10-02
397,3852,1135,20260117,Theft,Rejected,7183.96,2026-01-17,
398,1925,253,20210315,Fire,Paid,2201.57,2021-03-15,2021-04-03
399,3369,586,20220224,Collision,Rejected,2141.93,2022-02-24,
400,3386,400,20250111,Baggage Loss,Approved,2702.58,2025-01-11,2025-02-03
401,471,2427,20251209,Collision,Paid,1854.32,2025-12-09,2025-12-22
402,4054,930,20261203,Collision,Open,5598.7,2026-12-03,
403,2269,2085,20210227,Theft,Open,1898.96,2021-02-27,
404,3703,2203,20211209,Fire,Paid,20467.84,2021-12-09,2022-01-15
405,1428,966,20240619,Windscreen,Open,520.0,2024-06-19,
406,4019,2746,20211130,Collision,Paid,5886.68,2021-11-30,2021-12-04
407,1747,970,20270521,Fire,Rejected,4129.84,2027-05-21,
408,50,2845,20231202,Windscreen,Paid,1412.84,2023-12-02,2023-12-25
409,4067,661,20240915,Fire,Open,3243.16,2024-09-15,
410,416,610,20221230,Windscreen,Paid,2631.4,2022-12-30,2023-01-29
411,1425,2758,20240915,Windscreen,Paid,379.84,2024-09-15,2024-10-19
412,4271,1039,20251222,Water Damage,Paid,17743.5,2025-12-22,2026-01-17
413,4274,1535,20251227,Theft,Paid,6893.24,2025-12-27,2026-01-16
414,2569,2215,20220919,Fire,Paid,652.54,2022-09-19,2022-10-19
415,2829,493,20230322,Collision,Paid,7809.06,2023-03-22,2023-04-06
416,2014,992,20261110,Water Damage,Paid,18705.91,2026-11-10,2026-12-01
417,1313,1380,20260508,Windscreen,Open,3761.02,2026-05-08,
418,1463,1373,20261221,Theft,Approved,2176.9,2026-12-21,2026-12-31
419,3016,1855,20220923,Theft,Paid,3125.13,2022-09-23,2022-10-20
420,3376,1573,20250218,Fire,Rejected,2835.9,2025-02-18,
421,3549,2720,20241129,Theft,Paid,5127.36,2024-11-29,2024-12-31
422,3541,1767,20240220,Fire,Rejected,1898.02,2024-02-20,
423,416,610,20230711,Fire,Open,2698.19,2023-07-11,
424,2221,2956,20240904,Storm Damage,Approved,24783.13,2024-09-04,2024-10-06
425,262,2528,20221004,Fire,Open,6880.22,2022-10-04,
426,2466,1623,20240517,Windscreen,Approved,5471.71,2024-05-17,2024-05-24
427,1982,1014,20241018,Collision,Approved,5193.96,2024-10-18,2024-11-04
428,3981,629,20260821,Windscreen,Open,7995.83,2026-08-21,
429,1567,2328,20230707,Windscreen,Rejected,5172.87,2023-07-07,
430,529,2338,20240817,Fire,Approved,4350.62,2024-08-17,2024-09-01
431,647,883,20261117,Theft,Approved,736.04,2026-11-17,2026-12-19
432,3414,1145,20251126,Windscreen,Paid,3037.74,2025-11-26,2025-12-21
433,2770,2973,20251215,Fire,Paid,14125.71,2025-12-15,2026-01-06
434,461,1379,20221228,Storm Damage,Open,22156.4,2022-12-28,
435,382,170,20230703,Medical,Approved,239.19,2023-07-03,2023-08-13
436,3145,2358,20230603,Fire,Approved,7250.22,2023-06-03,2023-06-14
437,331,732,20250309,Fire,Open,4154.7,2025-03-09,
438,3683,1256,20230522,Theft,Paid,5255.5,2023-05-22,2023-06-19
439,3169,2695,20251120,Windscreen,Paid,5184.22,2025-11-20,2025-11-26
440,369,770,20270520,Storm Damage,Open,15680.95,2027-05-20,
441,385,1141,20221027,Windscreen,Paid,2272.18,2022-10-27,2022-10-30
442,4439,746,20260111,Water Damage,Paid,18400.87,2026-01-11,2026-02-08
443,1676,176,20260309,Fire,Approved,851.78,2026-03-09,2026-03-31
444,1661,2894,20230516,Theft,Approved,1550.28,2023-05-16,2023-06-30
445,3642,2572,20240424,Theft,Paid,1182.85,2024-04-24,2024-05-27
446,4257,1835,20220129,Fire,Paid,23467.51,2022-01-29,2022-02-09
447,4436,2494,20250711,Theft,Paid,12791.57,2025-07-11,2025-07-26
448,3380,1317,20250920,Fire,Open,8217.03,2025-09-20,
449,1687,256,20251207,Water Damage,Rejected,24850.41,2025-12-07,
450,379,351,20220926,Collision,Paid,5239.05,2022-09-26,2022-10-04
451,3486,347,20251125,Theft,Rejected,6212.72,2025-11-25,
452,2504,2384,20220402,Fire,Paid,6998.07,2022-04-02,2022-04-29
453,1905,67,20251127,Water Damage,Approved,8842.82,2025-11-27,2025-12-31
454,4071,456,20260108,Theft,Paid,15542.06,2026-01-08,2026-01-29
455,505,1378,20250814,Theft,Paid,3000.29,2025-08-14,2025-08-23
456,2213,2897,20240327,Storm Damage,Paid,4948.33,2024-03-27,2024-05-05
457,52,2593,20270215,Collision,Paid,7472.73,2027-02-15,2027-03-31
458,2104,336,20230206,Windscreen,Paid,6059.45,2023-02-06,2023-03-07
459,257,335,20221014,Theft,Approved,5113.51,2022-10-14,2022-11-10
460,537,325,20210706,Theft,Paid,887.57,2021-07-06,2021-07-16
461,531,2817,20220906,Trip Cancellation,Rejected,2273.38,2022-09-06,
462,2907,1308,20211019,Theft,Approved,6292.14,2021-10-19,2021-11-20
463,3348,2229,20211115,Windscreen,Paid,5889.41,2021-11-15,2021-12-22
464,2615,121,20260427,Theft,Rejected,8332.03,2026-04-27,
465,4325,2833,20220819,Storm Damage,Paid,18036.37,2022-08-19,2022-09-01
466,1679,1273,20240601,Collision,Approved,4521.26,2024-06-01,2024-06-12
467,1279,412,20230904,Fire,Open,1186.67,2023-09-04,
468,3898,252,20250611,Windscreen,Approved,7237.71,2025-06-11,2025-07-02
469,994,2837,20251205,Collision,Rejected,3363.55,2025-12-05,
470,4331,1652,20260907,Fire,Approved,21290.72,2026-09-07,2026-09-14
471,55,1410,20231009,Theft,Paid,5845.57,2023-10-09,2023-11-07
472,4361,1588,20250103,Fire,Open,1002.13,2025-01-03,
473,197,150,20260913,Baggage Loss,Approved,1360.87,2026-09-13,2026-09-26
474,3998,2923,20260326,Theft,Paid,6527.8,2026-03-26,2026-04-15
475,2370,2036,20250812,Windscreen,Paid,4611.01,2025-08-12,2025-08-28
476,4467,2284,20221016,Fire,Rejected,4257.57,2022-10-16,
477,336,1289,20270302,Trip Cancellation,Open,539.31,2027-03-02,
478,2484,196,20260626,Theft,Open,2825.85,2026-06-26,
479,4358,2812,20210907,Fire,Rejected,7486.05,2021-09-07,
480,2349,2177,20251217,Fire,Paid,4932.68,2025-12-17,2026-01-26
481,2819,169,20230124,Water Damage,Paid,23206.01,2023-01-24,2023-02-03
482,3123,1409,20270215,Storm Damage,Paid,18247.69,2027-02-15,2027-03-21
483,2040,1361,20260613,Water Damage,Paid,24475.22,2026-06-13,2026-06-21
484,2811,2597,20250516,Fire,Paid,15902.3,2025-05-16,2025-06-07
485,2621,734,20260107,Theft,Rejected,7731.44,2026-01-07,
486,4046,1729,20261102,Storm Damage,Paid,16068.65,2026-11-02,2026-12-09
487,206,692,20240106,Windscreen,Paid,6717.98,2024-01-06,2024-01-22
488,1258,807,20241215,Fire,Paid,2071.09,2024-12-15,2025-01-07
489,4273,1981,20230903,Baggage Loss,Paid,1937.78,2023-09-03,2023-10-12
490,3994,1214,20220309,Fire,Rejected,5899.79,2022-03-09,
491,4609,2944,20240304,Fire,Approved,4427.65,2024-03-04,2024-04-14
492,2779,1996,20260321,Medical,Rejected,2526.88,2026-03-21,
493,1241,740,20261207,Windscreen,Rejected,6450.26,2026-12-07,
494,841,251,20250715,Fire,Paid,4084.41,2025-07-15,2025-07-28
495,2081,331,20241108,Theft,Rejected,21811.55,2024-11-08,
496,1578,1177,20250620,Fire,Paid,1048.53,2025-06-20,2025-07-25
497,2617,2045,20230628,Theft,Paid,4741.58,2023-06-28,2023-07-16
498,353,2019,20231204,Collision,Paid,2845.52,2023-12-04,2023-12-12
499,4380,1221,20251229,Windscreen,Paid,4923.61,2025-12-29,2026-01-12
500,4437,709,20230112,Windscreen,Paid,5401.58,2023-01-12,2023-02-06
501,3132,526,20241024,Windscreen,Rejected,7093.98,2024-10-24,
502,2406,1028,20220117,Windscreen,Paid,7902.17,2022-01-17,2022-03-02
503,1382,1164,20250711,Fire,Paid,3963.33,2025-07-11,2025-07-25
504,3647,2171,20250107,Fire,Approved,11531.88,2025-01-07,2025-01-27
505,3073,1046,20241117,Theft,Paid,2233.47,2024-11-17,2024-12-02
506,733,1119,20231024,Theft,Paid,1924.03,2023-10-24,2023-12-02
507,4093,1379,20250104,Fire,Paid,8466.2,2025-01-04,2025-01-28
508,3686,1604,20231221,Collision,Paid,4832.61,2023-12-21,2024-01-06
509,4270,2451,20230422,Windscreen,Paid,4627.06,2023-04-22,2023-04-27
510,3253,2955,20250616,Windscreen,Rejected,5425.98,2025-06-16,
511,2751,1870,20261123,Theft,Paid,1995.12,2026-11-23,2027-01-01
512,1879,446,20260316,Fire,Paid,3988.92,2026-03-16,2026-04-07
513,4193,2715,20251216,Theft,Paid,3098.69,2025-12-16,2026-01-01
514,3887,1677,20210504,Theft,Approved,7420.82,2021-05-04,2021-05-25
515,205,2023,20220203,Theft,Open,4982.37,2022-02-03,
516,122,2922,20260117,Storm Damage,Paid,17256.79,2026-01-17,2026-01-25
517,1688,2840,20240725,Baggage Loss,Paid,2347.0,2024-07-25,2024-08-13
518,3633,2400,20250107,Storm Damage,Rejected,5105.29,2025-01-07,
519,4442,378,20220402,Fire,Paid,10187.51,2022-04-02,2022-04-10
520,680,374,20220604,Theft,Open,3272.34,2022-06-04,
521,2663,1683,20250425,Fire,Rejected,12683.05,2025-04-25,
522,1707,2028,20250922,Windscreen,Approved,1980.61,2025-09-22,2025-10-02
523,4361,1588,20250324,Collision,Approved,2935.78,2025-03-24,2025-04-13
524,3774,1165,20240522,Baggage Loss,Approved,2167.49,2024-05-22,2024-07-01
525,3755,2925,20231230,Collision,Approved,6802.83,2023-12-30,2024-01-22
526,2105,1060,20260417,Collision,Paid,2629.73,2026-04-17,2026-05-14
527,1866,322,20211003,Theft,Paid,9043.18,2021-10-03,2021-10-07
528,1223,1832,20221121,Windscreen,Open,6847.01,2022-11-21,
529,257,335,20230123,Theft,Approved,5268.04,2023-01-23,2023-03-08
530,3880,2903,20241112,Windscreen,Paid,3732.54,2024-11-12,2024-11-30
531,3643,2294,20240901,Medical,Rejected,159.26,2024-09-01,
532,4500,2609,20251211,Theft,Rejected,2190.7,2025-12-11,
533,4485,2047,20250208,Water Damage,Open,13620.52,2025-02-08,
534,4856,226,20241202,Fire,Approved,7228.54,2024-12-02,2025-01-10
535,3445,2031,20230108,Collision,Rejected,5288.24,2023-01-08,
536,4246,1320,20210601,Fire,Paid,3612.14,2021-06-01,2021-07-09
537,3810,2443,20220324,Theft,Paid,20663.3,2022-03-24,2022-04-04
538,1106,2014,20241107,Windscreen,Paid,2373.85,2024-11-07,2024-11-23
539,2023,2102,20221004,Windscreen,Open,1367.75,2022-10-04,
540,585,1720,20241027,Windscreen,Paid,6505.12,2024-10-27,2024-11-22
541,4288,206,20230202,Collision,Paid,4394.23,2023-02-02,2023-03-16
542,2717,1657,20261204,Baggage Loss,Paid,273.8,2026-12-04,2027-01-09
543,1018,718,20251227,Fire,Paid,472.47,2025-12-27,2026-01-17
544,3012,34,20250206,Collision,Approved,5707.21,2025-02-06,2025-03-12
545,2769,2804,20250920,Theft,Paid,3252.58,2025-09-20,2025-10-14
546,1600,2473,20240227,Storm Damage,Open,2365.74,2024-02-27,
547,515,2575,20211006,Fire,Rejected,650.67,2021-10-06,
548,3012,34,20241126,Theft,Paid,6731.87,2024-11-26,2024-12-26
549,2336,654,20230320,Windscreen,Paid,4129.42,2023-03-20,2023-04-15
550,3462,2077,20230527,Fire,Open,14282.62,2023-05-27,
551,2336,654,20230107,Windscreen,Paid,4212.79,2023-01-07,2023-02-03
552,3823,2083,20231102,Windscreen,Open,3358.43,2023-11-02,
553,2475,2983,20220713,Windscreen,Paid,4520.41,2022-07-13,2022-08-12
554,2514,1417,20260829,Windscreen,Paid,2000.37,2026-08-29,2026-09-29
555,3935,954,20221101,Theft,Approved,4982.63,2022-11-01,2022-11-25
556,1813,2782,20221102,Theft,Approved,1181.93,2022-11-02,2022-11-09
557,606,2698,20220822,Storm Damage,Paid,24610.74,2022-08-22,2022-09-28
558,132,381,20220919,Windscreen,Open,7877.28,2022-09-19,
559,3389,1018,20270307,Theft,Open,6947.16,2027-03-07,
560,2780,203,20261209,Collision,Paid,5461.3,2026-12-09,2027-01-14
561,3161,2729,20220113,Fire,Paid,2711.17,2022-01-13,2022-02-20
562,948,2726,20220813,Flight Delay,Paid,2359.62,2022-08-13,2022-09-03
563,616,709,20220518,Windscreen,Paid,2559.33,2022-05-18,2022-06-16
564,67,227,20230823,Fire,Paid,6043.8,2023-08-23,2023-09-09
565,1566,336,20241106,Fire,Paid,5340.02,2024-11-06,2024-12-14
566,2646,1856,20260124,Water Damage,Open,22130.9,2026-01-24,
567,1760,2928,20210718,Theft,Paid,955.34,2021-07-18,2021-08-08
568,1964,1846,20210415,Theft,Approved,7249.06,2021-04-15,2021-05-24
569,4060,2925,20260215,Theft,Approved,4087.42,2026-02-15,2026-03-26
570,1554,1295,20231002,Theft,Open,2007.64,2023-10-02,
571,2307,1800,20260413,Water Damage,Paid,18542.93,2026-04-13,2026-05-22
572,3513,1849,20230429,Windscreen,Open,4857.04,2023-04-29,
573,1781,925,20250910,Theft,Approved,5028.89,2025-09-10,2025-10-20
574,2787,2523,20260503,Fire,Paid,313.0,2026-05-03,2026-05-19
575,3868,1488,20240404,Windscreen,Rejected,5765.06,2024-04-04,
576,4269,2372,20220920,Collision,Rejected,7407.19,2022-09-20,
577,663,1358,20230809,Collision,Open,7416.59,2023-08-09,
578,4163,1801,20241207,Theft,Paid,1731.15,2024-12-07,2024-12-19
579,2211,1825,20240108,Theft,Approved,4459.06,2024-01-08,2024-01-30
580,1155,2900,20260705,Fire,Paid,6078.86,2026-07-05,2026-07-22
581,2060,2662,20251223,Theft,Paid,4584.25,2025-12-23,2026-01-08
582,4406,985,20231003,Storm Damage,Rejected,18717.49,2023-10-03,
583,2213,2897,20240229,Fire,Paid,7584.52,2024-02-29,2024-03-28
584,1463,1373,20270515,Collision,Paid,4925.46,2027-05-15,2027-06-13
585,2837,242,20230418,Storm Damage,Rejected,2317.73,2023-04-18,
586,1071,237,20260923,Medical,Paid,1953.37,2026-09-23,2026-10-02
587,345,1565,20260120,Windscreen,Approved,5359.41,2026-01-20,2026-03-03
588,584,1968,20220424,Trip Cancellation,Rejected,534.19,2022-04-24,
589,580,2665,20241213,Fire,Open,5997.47,2024-12-13,
590,685,1874,20270104,Windscreen,Rejected,5767.89,2027-01-04,
591,626,2127,20241220,Theft,Approved,526.86,2024-12-20,2025-02-02
592,2871,2853,20220122,Fire,Paid,22976.06,2022-01-22,2022-03-01
593,815,2811,20221224,Fire,Paid,2539.99,2022-12-24,2023-01-05
594,1542,2113,20241107,Collision,Approved,5074.09,2024-11-07,2024-11-12
595,4024,1924,20230107,Theft,Paid,2594.92,2023-01-07,2023-01-10
596,2126,1507,20221206,Water Damage,Paid,12221.09,2022-12-06,2022-12-30
597,2993,1835,20220331,Medical,Approved,2431.77,2022-03-31,2022-04-22
598,773,276,20230404,Storm Damage,Approved,1226.69,2023-04-04,2023-05-07
599,859,604,20221013,Water Damage,Paid,2177.6,2022-10-13,2022-11-27
600,185,183,20260116,Fire,Paid,413.44,2026-01-16,2026-01-23
601,760,2789,20230514,Fire,Open,6200.27,2023-05-14,
602,1247,1159,20220704,Baggage Loss,Paid,2705.81,2022-07-04,2022-07-22
603,793,82,20231001,Theft,Open,7868.09,2023-10-01,
604,403,2387,20261011,Storm Damage,Paid,5203.23,2026-10-11,2026-11-03
605,544,2027,20220227,Fire,Paid,6748.5,2022-02-27,2022-03-12
606,2068,2877,20250913,Fire,Rejected,6387.55,2025-09-13,
607,919,2257,20240112,Fire,Paid,881.79,2024-01-12,2024-02-18
608,1632,1035,20251025,Fire,Paid,5674.95,2025-10-25,2025-12-01
609,2262,2999,20260428,Windscreen,Paid,1527.11,2026-04-28,2026-05-02
610,3098,198,20260122,Fire,Paid,1592.44,2026-01-22,2026-02-28
611,178,1480,20220522,Windscreen,Rejected,694.24,2022-05-22,
612,3586,1928,20241229,Baggage Loss,Approved,2766.6,2024-12-29,2025-01-10
613,2812,2901,20211208,Windscreen,Paid,954.1,2021-12-08,2022-01-04
614,371,102,20221202,Fire,Approved,8101.6,2022-12-02,2022-12-25
615,3923,294,20260117,Collision,Open,7884.88,2026-01-17,
616,4138,1228,20221112,Fire,Rejected,20631.51,2022-11-12,
617,278,1577,20260118,Fire,Approved,12723.78,2026-01-18,2026-02-13
618,1238,1055,20250303,Fire,Approved,11946.93,2025-03-03,2025-03-27
619,3616,2791,20251223,Water Damage,Rejected,20211.27,2025-12-23,
620,3359,2584,20260426,Storm Damage,Paid,14038.8,2026-04-26,2026-04-30
621,826,2704,20221021,Storm Damage,Paid,5725.12,2022-10-21,2022-11-01
622,4820,2391,20260512,Baggage Loss,Open,921.9,2026-05-12,
623,1660,2243,20230112,Fire,Approved,21563.24,2023-01-12,2023-02-04
624,2176,2347,20231212,Fire,Paid,6036.0,2023-12-12,2023-12-28
625,2770,2973,20251124,Theft,Paid,13636.38,2025-11-24,2025-12-10
626,1653,772,20220124,Fire,Open,11000.53,2022-01-24,
627,2075,1072,20220220,Storm Damage,Approved,22449.78,2022-02-20,2022-03-18
628,3355,1288,20230324,Theft,Rejected,1505.34,2023-03-24,
629,165,2113,20260717,Windscreen,Rejected,946.73,2026-07-17,
630,1128,665,20220717,Theft,Paid,6507.33,2022-07-17,2022-08-06
631,3203,496,20251224,Theft,Rejected,6756.92,2025-12-24,
632,4017,1806,20230122,Theft,Approved,16326.6,2023-01-22,2023-02-22
633,2297,816,20221219,Water Damage,Open,24740.05,2022-12-19,
634,2390,1169,20220628,Theft,Open,7223.25,2022-06-28,
635,488,2823,20211010,Collision,Approved,4106.88,2021-10-10,2021-11-03
636,2009,754,20221101,Theft,Approved,2876.87,2022-11-01,2022-11-26
637,2391,2189,20230310,Theft,Paid,3013.26,2023-03-10,2023-04-20
638,1083,2284,20230506,Windscreen,Approved,4975.58,2023-05-06,2023-06-16
639,1203,2926,20240315,Theft,Approved,3657.16,2024-03-15,2024-04-03
640,1691,2024,20230114,Theft,Paid,5638.03,2023-01-14,2023-01-28
641,94,2029,20220310,Theft,Rejected,8506.13,2022-03-10,
642,1436,1729,20260209,Collision,Paid,6873.23,2026-02-09,2026-03-26
643,941,1630,20250213,Collision,Paid,3118.86,2025-02-13,2025-03-22
644,1458,175,20261210,Theft,Paid,3709.3,2026-12-10,2027-01-13
645,540,1739,20250403,Theft,Paid,9995.66,2025-04-03,2025-04-17
646,3995,2908,20210407,Medical,Paid,802.28,2021-04-07,2021-05-03
647,2660,816,20220106,Baggage Loss,Paid,169.86,2022-01-06,2022-01-16
648,3047,239,20220508,Theft,Rejected,2341.44,2022-05-08,
649,3539,876,20210926,Collision,Open,6452.27,2021-09-26,
650,2239,2062,20250320,Fire,Approved,14106.01,2025-03-20,2025-03-29
651,394,2881,20260508,Fire,Paid,6480.12,2026-05-08,2026-05-18
652,2410,1278,20261005,Fire,Approved,1782.72,2026-10-05,2026-11-13
653,2632,1161,20230508,Water Damage,Paid,21267.21,2023-05-08,2023-06-21
654,3346,1141,20221116,Windscreen,Rejected,1775.93,2022-11-16,
655,1937,1379,20231119,Storm Damage,Paid,2636.23,2023-11-19,2023-12-26
656,578,2586,20241204,Collision,Approved,7201.5,2024-12-04,2024-12-23
657,1270,112,20230811,Windscreen,Paid,4676.2,2023-08-11,2023-08-22
658,1627,977,20240115,Fire,Open,13396.09,2024-01-15,
659,2892,288,20221029,Water Damage,Approved,14081.82,2022-10-29,2022-11-12
660,2557,2727,20270521,Fire,Paid,3101.41,2027-05-21,2027-07-05
661,1589,2884,20211228,Windscreen,Rejected,6984.14,2021-12-28,
662,4438,1997,20241202,Collision,Paid,5719.07,2024-12-02,2025-01-14
663,2715,2777,20240803,Fire,Paid,15953.74,2024-08-03,2024-08-17
664,1057,2066,20240219,Windscreen,Rejected,766.65,2024-02-19,
665,464,232,20260121,Windscreen,Rejected,7027.56,2026-01-21,
666,689,1271,20220410,Fire,Approved,5212.17,2022-04-10,2022-04-24
667,1098,2937,20240530,Water Damage,Open,15498.87,2024-05-30,
668,4855,249,20230426,Windscreen,Paid,6663.81,2023-04-26,2023-05-21
669,836,1421,20251108,Fire,Open,243.49,2025-11-08,
670,1276,1901,20210914,Theft,Paid,286.64,2021-09-14,2021-09-29
671,777,706,20240408,Collision,Approved,3021.0,2024-04-08,2024-05-16
672,4024,1924,20221117,Theft,Rejected,5586.96,2022-11-17,
673,364,2712,20220119,Theft,Paid,5449.64,2022-01-19,2022-02-05
674,2355,2227,20230215,Collision,Paid,1313.68,2023-02-15,2023-03-06
675,1843,1812,20220723,Fire,Rejected,13692.35,2022-07-23,
676,4418,1195,20220104,Water Damage,Open,15239.51,2022-01-04,
677,509,812,20230607,Fire,Approved,2885.81,2023-06-07,2023-06-10
678,1786,1897,20260301,Theft,Paid,760.47,2026-03-01,2026-02-21
679,4358,2812,20211127,Windscreen,Paid,5967.98,2021-11-27,2022-01-01
680,3884,809,20240801,Windscreen,Paid,1863.54,2024-08-01,2024-08-07
681,3662,1955,20251224,Fire,Rejected,7785.18,2025-12-24,
682,1153,1674,20240620,Water Damage,Paid,22401.58,2024-06-20,2024-07-25
683,767,734,20250620,Collision,Approved,7409.02,2025-06-20,2025-07-27
684,2998,813,20221231,Collision,Rejected,4733.5,2022-12-31,
685,4176,685,20240923,Fire,Approved,1960.73,2024-09-23,2024-09-27
686,2497,234,20230315,Fire,Paid,7793.19,2023-03-15,2023-04-18
687,2561,213,20250220,Theft,Paid,10954.59,2025-02-20,2025-03-04
688,1254,1656,20241106,Fire,Paid,1582.27,2024-11-06,2024-12-19
689,3448,713,20230610,Theft,Rejected,4297.13,2023-06-10,
690,838,1264,20260122,Fire,Open,672.27,2026-01-22,
691,1443,1530,20251017,Fire,Paid,7742.63,2025-10-17,2025-10-28
692,1910,1337,20260801,Windscreen,Paid,4487.2,2026-08-01,2026-08-26
693,2279,1465,20260504,Fire,Paid,4262.61,2026-05-04,2026-06-11
694,1083,2284,20230317,Collision,Paid,4134.1,2023-03-17,2023-03-21
695,520,670,20240616,Collision,Open,6578.5,2024-06-16,
696,2739,806,20230214,Windscreen,Open,2038.04,2023-02-14,
697,4869,1865,20240125,Fire,Open,1958.36,2024-01-25,
698,2604,1995,20240102,Fire,Open,14719.34,2024-01-02,
699,696,2329,20231228,Fire,Paid,18091.42,2023-12-28,2024-01-05
700,2161,2905,20251208,Storm Damage,Paid,3872.21,2025-12-08,2025-12-13
701,2391,2189,20220617,Collision,Paid,2012.43,2022-06-17,2022-07-16
702,236,1431,20221124,Storm Damage,Paid,1611.56,2022-11-24,2022-12-12
703,1499,2361,20220808,Fire,Paid,1689.67,2022-08-08,2022-09-02
704,609,499,20250806,Collision,Paid,6866.97,2025-08-06,2025-08-25
705,289,1031,20211103,Medical,Paid,2983.93,2021-11-03,2021-12-05
706,4452,2719,20231115,Theft,Paid,1323.37,2023-11-15,2023-12-04
707,1437,845,20230409,Theft,Rejected,5028.41,2023-04-09,
708,3630,743,20231207,Theft,Paid,17613.07,2023-12-07,2024-01-13
709,1137,2293,20221219,Theft,Paid,6186.66,2022-12-19,2022-12-22
710,3059,1493,20250623,Baggage Loss,Paid,1150.76,2025-06-23,2025-07-24
711,3409,1166,20230119,Theft,Rejected,7966.85,2023-01-19,
712,2670,337,20230210,Water Damage,Paid,11955.02,2023-02-10,2023-02-25
713,2117,2046,20240121,Theft,Paid,3115.39,2024-01-21,2024-02-11
714,1850,2451,20220704,Collision,Paid,2477.71,2022-07-04,2022-07-18
715,1557,2002,20220705,Medical,Paid,1842.89,2022-07-05,2022-08-18
716,4176,685,20240924,Windscreen,Paid,1539.37,2024-09-24,2024-09-28
717,3722,934,20230302,Theft,Approved,1363.8,2023-03-02,2023-03-30
718,4340,1981,20240708,Windscreen,Paid,7551.89,2024-07-08,2024-08-02
719,563,2226,20260605,Trip Cancellation,Paid,1217.64,2026-06-05,2026-06-26
720,3277,1512,20251213,Fire,Paid,10091.21,2025-12-13,2025-12-25
721,4217,1454,20220327,Fire,Paid,6476.86,2022-03-27,2022-04-09
722,812,1789,20261117,Theft,Approved,2278.87,2026-11-17,2026-12-27
723,302,2584,20240709,Windscreen,Approved,3908.53,2024-07-09,2024-08-06
724,3325,2397,20250721,Windscreen,Rejected,1908.08,2025-07-21,
725,2575,1706,20250927,Fire,Rejected,1477.85,2025-09-27,
726,3772,2325,20241002,Storm Damage,Paid,3468.29,2024-10-02,2024-10-14
727,631,583,20260601,Theft,Open,7452.45,2026-06-01,
728,3565,235,20240610,Flight Delay,Paid,242.67,2024-06-10,2024-06-26
729,898,1168,20231222,Theft,Paid,6377.59,2023-12-22,2024-01-08
730,738,1982,20220721,Flight Delay,Open,1965.24,2022-07-21,
731,741,2660,20260408,Windscreen,Rejected,6528.44,2026-04-08,
732,3651,2911,20261014,Collision,Paid,6190.7,2026-10-14,2026-10-28
733,2984,1290,20251031,Fire,Rejected,5904.52,2025-10-31,
734,2349,2177,20260119,Storm Damage,Open,15015.39,2026-01-19,
735,1604,1990,20251201,Theft,Paid,6378.45,2025-12-01,2025-12-29
736,3938,465,20220711,Collision,Approved,6075.6,2022-07-11,2022-08-25
737,1761,427,20211129,Water Damage,Paid,5313.69,2021-11-29,2021-12-31
738,3660,297,20250330,Fire,Open,11926.14,2025-03-30,
739,1971,1141,20260328,Windscreen,Paid,6937.26,2026-03-28,2026-05-10
740,1690,4,20250122,Fire,Paid,4522.15,2025-01-22,2025-01-31
741,2076,1245,20230401,Trip Cancellation,Open,1180.12,2023-04-01,
742,1348,847,20250710,Fire,Approved,1915.04,2025-07-10,2025-08-12
743,3355,1288,20230203,Windscreen,Paid,6789.82,2023-02-03,2023-02-09
744,2259,135,20250327,Trip Cancellation,Approved,931.71,2025-03-27,2025-04-28
